PROYECTO_ID,CONVOCATORIA_ID,ANO_CONVOCATORIA,DESC_CONVOCATORIA,CODIGO_PROYECTO,TITULO_PROYECTO,FECHA_REGISTRO,FECHA_APROBACION,ENTIDAD_EJECUTA,TIPO_FINANCIACION,DESC_FINANCIACION,COD_PROG_CTI,NME_PROG_CTI,COD_AREA_TEMATICA,AREA_TEMATICA,COD_AREA_CIENCIA,NME_AREA_CIENCIA,ESTADO_PROYECTO,COD_DANE_CIUDAD_ENTIDAD,NME_CIUDAD_ENTIDAD,COD_DANE_DEPTO_ENTIDAD,NME_DEPTO_ENTIDAD,COD_DANE_CIUDAD_PRY,NME_CIUDAD_PRY,COD_DANE_DEPTO_PRY,NME_DEPTO_PRY,TPO_PROYECTO,NME_TIPO_PROYECTO,MONTO_FINANCIADO_AP,MONTO_CONTRAPARTIDA_AP,MONTO_TOTAL_AP
56922,11340,2017,777-2017 CONVOCATORIA PARA PROYECTOS DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD 2017,110277756922,IDENTIFICACION DE CLUSTERS DE CANCER INFANTIL Y ANALISIS DE SU RELACION CON EXPOSICION A FUENTES INDUSTRIALES DE CONTAMINACION ATMOSFERICA EN COLOMBIA,2017-04-19,2017-10-10,UNIVERSIDAD INDUSTRIAL DE SANTANDER,RC,RECUPERACION CONTINGENTE,154,PROGRAMA NACIONAL DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD,11395,SALUD AMBIENTAL,X,No disponible,APROBADO,68001,BUCARAMANGA,68,SANTANDER,68001,BUCARAMANGA,68,SANTANDER,P,Proyecto,341326321,760465762,1087592083
57076,11340,2017,777-2017 CONVOCATORIA PARA PROYECTOS DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD 2017,129977757076,Desarrollo de un aptasensor electroquimico para la deteccion y cuantificacion de E. coli presente en matrices acuosas,2017-05-02,2018-03-12,UNIVERSIDAD DE SANTANDER,RC,RECUPERACION CONTINGENTE,154,PROGRAMA NACIONAL DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD,11395,SALUD AMBIENTAL,X,No disponible,APROBADO,68001,BUCARAMANGA,68,SANTANDER,68001,BUCARAMANGA,68,SANTANDER,P,Proyecto,399603826,1223208080,1622811906
58110,11340,2017,777-2017 CONVOCATORIA PARA PROYECTOS DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD 2017,129977758110,Efecto de la exposicion a herbicidas en el desarrollo de la actividad neuroendocrinologica de crias de rata Wistar.,2017-05-27,2018-03-12,UNIVERSIDAD DE SANTANDER,RC,RECUPERACION CONTINGENTE,154,PROGRAMA NACIONAL DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD,11395,SALUD AMBIENTAL,X,No disponible,APROBADO,68001,BUCARAMANGA,68,SANTANDER,68001,BUCARAMANGA,68,SANTANDER,P,Proyecto,299832697,769437779,1069270476
57376,11340,2017,777-2017 CONVOCATORIA PARA PROYECTOS DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD 2017,110277757376,Iniciativa ZEN (Zika en embarazadas y neonatos). Fase II Evaluacion del neurodesarrollo en hijos de gestantes con infeccion por el virus Zika,2017-05-11,2017-10-10,UNIVERSIDAD INDUSTRIAL DE SANTANDER,RC,RECUPERACION CONTINGENTE,154,PROGRAMA NACIONAL DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD,11396,SALUD MATERNA Y PERINATAL,X,No disponible,APROBADO,68001,BUCARAMANGA,68,SANTANDER,68001,BUCARAMANGA,68,SANTANDER,P,Proyecto,377713152,899200000,1276913152
57365,11340,2017,777-2017 CONVOCATORIA PARA PROYECTOS DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD 2017,124177757365,DISENO SINTESIS CARACTERIZACION QUIMICA Y FARMACOLOGICA DE NUEVOS ANALOGOS DE KISSPEPTINA10 Y EVALUACION DE SU AGONISMO EN DIFERENTES TIPOS DE CANCER.,2017-05-11,2017-10-10,UNIVERSIDAD AUTONOMA DE BUCARAMANGA,RC,RECUPERACION CONTINGENTE,154,PROGRAMA NACIONAL DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD,11664,CONDICIONES CRONICAS NO TRANSMISIBLES.,X,No disponible,APROBADO,68001,BUCARAMANGA,68,SANTANDER,68001,BUCARAMANGA,68,SANTANDER,P,Proyecto,396791720,668759750,1065551470
57672,11340,2017,777-2017 CONVOCATORIA PARA PROYECTOS DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD 2017,124177757672,Desarrollo de un hidrogel funcionalizado tipo aposito para la aplicacion de derivados acelulares provenientes de celulas madre mesenquimales como potencial tratamiento para ulceras cutaneas cronicas modelo pre-clinico en diabetes tipo 1,2017-05-17,2018-03-12,UNIVERSIDAD AUTONOMA DE BUCARAMANGA,RC,RECUPERACION CONTINGENTE,154,PROGRAMA NACIONAL DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD,11664,CONDICIONES CRONICAS NO TRANSMISIBLES.,X,No disponible,APROBADO,68001,BUCARAMANGA,68,SANTANDER,68001,BUCARAMANGA,68,SANTANDER,P,Proyecto,390007041,510969826,900976867
57637,11340,2017,777-2017 CONVOCATORIA PARA PROYECTOS DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD 2017,129977757637,Caracterizacion serologica y molecular del virus de la hepatitis B (VHB) en donantes de bancos de sangre de la region nororiental de Colombia positivos para anticuerpos contra el core del VHB (anti-HBc).,2017-05-17,2017-10-10,UNIVERSIDAD DE SANTANDER,RC,RECUPERACION CONTINGENTE,154,PROGRAMA NACIONAL DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD,11665,CONDICIONES TRANSMISIBLES E INFECCIOSAS.,X,No disponible,APROBADO,68001,BUCARAMANGA,68,SANTANDER,68001,BUCARAMANGA,68,SANTANDER,P,Proyecto,399223187,1058351340,1457574527
57612,11340,2017,777-2017 CONVOCATORIA PARA PROYECTOS DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD 2017,129977757612,Caracterizacion de lipasas del patogeno oportunista Candida palmioleophila y su influencia en la infectividad de macrofagos in vitro,2017-05-16,2018-03-12,UNIVERSIDAD DE SANTANDER,RC,RECUPERACION CONTINGENTE,154,PROGRAMA NACIONAL DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD,11665,CONDICIONES TRANSMISIBLES E INFECCIOSAS.,X,No disponible,APROBADO,68001,BUCARAMANGA,68,SANTANDER,68001,BUCARAMANGA,68,SANTANDER,P,Proyecto,299991620,1451342368,1751333988
57410,11340,2017,777-2017 CONVOCATORIA PARA PROYECTOS DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD 2017,110277757410,Purificacion de peptidos con actividad antimicrobiana presentes en la secrecion mucosa de Achatina fulica,2017-05-11,2017-10-10,UNIVERSIDAD INDUSTRIAL DE SANTANDER,RC,RECUPERACION CONTINGENTE,154,PROGRAMA NACIONAL DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD,11668,TOXINOLOGIA CLINICA Y NUEVOS MEDICAMENTOS.,X,No disponible,APROBADO,68001,BUCARAMANGA,68,SANTANDER,68001,BUCARAMANGA,68,SANTANDER,P,Proyecto,200822481,965527512,1166349993
57586,11340,2017,777-2017 CONVOCATORIA PARA PROYECTOS DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD 2017,110277757586,APLICACION DE EXTRACTOS DE PLANTAS MEDICINALES AROMATICAS COLOMBIANAS PARA LA INHIBICION DEL QUORUM SENSING Y LA FORMACION DE BIOFILM DE BACTERIAS PATOGENAS,2017-05-15,2017-10-10,UNIVERSIDAD INDUSTRIAL DE SANTANDER,RC,RECUPERACION CONTINGENTE,154,PROGRAMA NACIONAL DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD,11668,TOXINOLOGIA CLINICA Y NUEVOS MEDICAMENTOS.,X,No disponible,APROBADO,68001,BUCARAMANGA,68,SANTANDER,68001,BUCARAMANGA,68,SANTANDER,P,Proyecto,382237852,1018395000,1400632852
57808,11340,2017,777-2017 CONVOCATORIA PARA PROYECTOS DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD 2017,129977757808,Identificacion y estudio de la actividad antimicrobiana de un peptido antimicrobiano de Atta laevigata (hormiga santandereana),2017-05-22,2018-03-12,UNIVERSIDAD DE SANTANDER,RC,RECUPERACION CONTINGENTE,154,PROGRAMA NACIONAL DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD,11668,TOXINOLOGIA CLINICA Y NUEVOS MEDICAMENTOS.,X,No disponible,APROBADO,68001,BUCARAMANGA,68,SANTANDER,68001,BUCARAMANGA,68,SANTANDER,P,Proyecto,299383788,741956142,1041339930
57982,11340,2017,777-2017 CONVOCATORIA PARA PROYECTOS DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD 2017,111077757982,SISTEMA DE IDENTIFICACION DE FUENTES EPILEPTOGENICAS BASADO EN MEDIDAS DE CONECTIVIDAD FUNCIONAL USANDO REGISTROS ELECTROENCEFALOGRAFICOS E IMAGENES DE RESONANCIA MAGNETICA EN PACIENTES CON EPILEPSIA REFRACTARIA APOYO A LA CIRUGIA RESECTIVA,2017-05-25,2017-10-10,UNIVERSIDAD TECNOLOGICA DE PEREIRA,RC,RECUPERACION CONTINGENTE,154,PROGRAMA NACIONAL DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD,11667,SISTEMAS Y SERVICIOS DE ATENCION EN SALUD.,X,No disponible,APROBADO,66001,PEREIRA,66,RISARALDA,66001,PEREIRA,66,RISARALDA,P,Proyecto,377921111,265485317,643406428
57104,11340,2017,777-2017 CONVOCATORIA PARA PROYECTOS DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD 2017,111377757104,2-benzoil-4-tiazolodinonas como potenciales inhibidores de Toxoplasma gondii Diseno estructural sintesis ecoamigable y evaluacion in vitro.,2017-05-04,2017-10-10,UNIVERSIDAD DEL QUINDIO,RC,RECUPERACION CONTINGENTE,154,PROGRAMA NACIONAL DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD,11665,CONDICIONES TRANSMISIBLES E INFECCIOSAS.,X,No disponible,APROBADO,63001,ARMENIA,63,QUINDIO,63001,ARMENIA,63,QUINDIO,P,Proyecto,300084965,215268320,515353285
58086,11340,2017,777-2017 CONVOCATORIA PARA PROYECTOS DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD 2017,112477758086,PROGRAMA DE DESARROLLO COGNITIVO DIRIGIDO AL COMPONENTE EJECUTIVO EMOCIONAL Y COMPORTAMENTAL DE NINOS Y NINAS VICTIMAS DEL CONFLICTO ARMADO EN SITUACION DE DESPLAZAMIENTO RESIDENTES DE LA CIUDAD DE NEIVA,2017-05-26,2017-10-10,UNIVERSIDAD SURCOLOMBIANA,RC,RECUPERACION CONTINGENTE,154,PROGRAMA NACIONAL DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD,11398,SALUD MENTAL Y CONSTRUCCION DE PAZ,X,No disponible,APROBADO,41001,NEIVA,41,HUILA,41001,NEIVA,41,HUILA,P,Proyecto,356047461,162414614,518462075
58003,11340,2017,777-2017 CONVOCATORIA PARA PROYECTOS DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD 2017,128377758003,Cambio metabolico inducido por activadores del factor de transcripcion Nrf2 como estrategia quimioterapeutica antitumoral,2017-05-25,2017-10-10,UNIVERSIDAD DEL SINU,RC,RECUPERACION CONTINGENTE,154,PROGRAMA NACIONAL DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD,11664,CONDICIONES CRONICAS NO TRANSMISIBLES.,X,No disponible,APROBADO,23001,MONTERIA,23,CORDOBA,23001,MONTERIA,23,CORDOBA,P,Proyecto,363951993,748120468,1112072461
58068,11340,2017,777-2017 CONVOCATORIA PARA PROYECTOS DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD 2017,123077758068,CONTACTO PIEL A PIEL AL NACIMIENTO TEMPRANO VS INMEDIATO EN LA DURACION DE LACTANCIA HUMANA EXCLUSIVA EN LOS RECIEN NACIDOS A TERMINO ATENDIDOS EN LA REGION DE BOGOTA Y SABANA CENTRO ENSAYO CLINICO ALEATORIZADO,2017-05-26,2017-10-10,UNIVERSIDAD DE LA SABANA,RC,RECUPERACION CONTINGENTE,154,PROGRAMA NACIONAL DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD,11396,SALUD MATERNA Y PERINATAL,X,No disponible,APROBADO,25175,CHIA,25,CUNDINAMARCA,25175,CHIA,25,CUNDINAMARCA,P,Proyecto,394422291,381117760,775540051
57135,11340,2017,777-2017 CONVOCATORIA PARA PROYECTOS DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD 2017,112777757135,Estudios geneticos y fisiologicos de la actividad antitumoral de sales cuaternarias de amonio fluoradas y no fluoradas y su utilidad en cancer de colon,2017-05-04,2017-10-10,UNIVERSIDAD DE CALDAS,RC,RECUPERACION CONTINGENTE,154,PROGRAMA NACIONAL DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD,11664,CONDICIONES CRONICAS NO TRANSMISIBLES.,X,No disponible,APROBADO,17001,MANIZALES,17,CALDAS,17001,MANIZALES,17,CALDAS,P,Proyecto,399963113,631662954,1031626067
58193,11340,2017,777-2017 CONVOCATORIA PARA PROYECTOS DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD 2017,112777758193,EL PAPEL DE LAS AVES Y PEQUENOS MAMIFEROS SILVESTRES EN LA CIRCULACION  DE GARRAPATAS Y RICKETTSIAS EN   EL DEPARTAMENTO DE ARAUCA (ORINOQUIA COLOMBIANA),2017-05-30,2017-10-10,UNIVERSIDAD DE CALDAS,RC,RECUPERACION CONTINGENTE,154,PROGRAMA NACIONAL DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD,11665,CONDICIONES TRANSMISIBLES E INFECCIOSAS.,X,No disponible,APROBADO,17001,MANIZALES,17,CALDAS,17001,MANIZALES,17,CALDAS,P,Proyecto,234560494,347154196,581714690
57778,11340,2017,777-2017 CONVOCATORIA PARA PROYECTOS DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD 2017,110777757778,Riesgo susceptibilidad genetica y estres oxidativo debido a la exposicion del arsenico en poblaciones del Caribe colombiano,2017-05-21,2018-03-12,UNIVERSIDAD DE CARTAGENA,RC,RECUPERACION CONTINGENTE,154,PROGRAMA NACIONAL DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD,11395,SALUD AMBIENTAL,X,No disponible,APROBADO,13001,CARTAGENA DE INDIAS,13,BOLIVAR,13001,CARTAGENA DE INDIAS,13,BOLIVAR,P,Proyecto,291451000,155000000,446451000
57883,11340,2017,777-2017 CONVOCATORIA PARA PROYECTOS DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD 2017,110777757883,RELACION ENTRE LA EXPOSICION A CONTAMINANTES AMBIENTALES Y MARCADORES MOLECULARES DE TOXICIDAD EN LA POBLACION ADOLESCENTE DE LA ISLA DE TIERRABOMBA,2017-05-23,2017-10-10,UNIVERSIDAD DE CARTAGENA,RC,RECUPERACION CONTINGENTE,154,PROGRAMA NACIONAL DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD,11395,SALUD AMBIENTAL,X,No disponible,APROBADO,13001,CARTAGENA DE INDIAS,13,BOLIVAR,13001,CARTAGENA DE INDIAS,13,BOLIVAR,P,Proyecto,296251098,391500000,687751098
58233,11340,2017,777-2017 CONVOCATORIA PARA PROYECTOS DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD 2017,110777758233,Desarrollo de una definicion de Morbilidad Materna Extrema en pacientes obstetricas de America Latina y el Caribe Un estudio prospectivo multicentrico de CLAP Network for Adverse Maternal Outcomes (CLAP-NAMOs),2017-05-30,2017-10-10,UNIVERSIDAD DE CARTAGENA,RC,RECUPERACION CONTINGENTE,154,PROGRAMA NACIONAL DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD,11396,SALUD MATERNA Y PERINATAL,X,No disponible,APROBADO,13001,CARTAGENA DE INDIAS,13,BOLIVAR,13001,CARTAGENA DE INDIAS,13,BOLIVAR,P,Proyecto,264467454,199183590,463651044
58259,11340,2017,777-2017 CONVOCATORIA PARA PROYECTOS DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD 2017,669677758259,Validacion del modelo predictivo quick Sequential [sepsis-related] Organ Failure Assessment (qSOFA) en la prediccion de infeccion severa – sepsis en pacientes obstetricas y desenlaces neonatales adversos. Estudio Multicentrico.,2017-05-31,2017-10-10,FUNDACION GRUPO DE INVESTIGACION EN CUIDADOS INTENSIVOS Y OBSTETRICIA-GRICIO-,RC,RECUPERACION CONTINGENTE,154,PROGRAMA NACIONAL DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD,11396,SALUD MATERNA Y PERINATAL,X,No disponible,APROBADO,13001,CARTAGENA DE INDIAS,13,BOLIVAR,13001,CARTAGENA DE INDIAS,13,BOLIVAR,P,Proyecto,399842970,224634827,624477797
58133,11340,2017,777-2017 CONVOCATORIA PARA PROYECTOS DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD 2017,110777758133,Identificacion de biomarcadores del sindrome de superposicion EPOC/Asma,2017-05-29,2017-10-10,UNIVERSIDAD DE CARTAGENA,RC,RECUPERACION CONTINGENTE,154,PROGRAMA NACIONAL DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD,11664,CONDICIONES CRONICAS NO TRANSMISIBLES.,X,No disponible,APROBADO,13001,CARTAGENA DE INDIAS,13,BOLIVAR,13001,CARTAGENA DE INDIAS,13,BOLIVAR,P,Proyecto,399969600,838498300,1238467900
57930,11340,2017,777-2017 CONVOCATORIA PARA PROYECTOS DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD 2017,110777757930,ESTUDIO DEL EFECTO DE UN AGONISTA DE LOS RECEPTORES DE ADIPONECTINA (AdipoRon) SOBRE LA EXPRESION DEL GEN DE CAVEOLINA 1 (CAV1) EN ADIPOCITOS HUMANOS,2017-05-24,2018-03-12,UNIVERSIDAD DE CARTAGENA,RC,RECUPERACION CONTINGENTE,154,PROGRAMA NACIONAL DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD,11664,CONDICIONES CRONICAS NO TRANSMISIBLES.,X,No disponible,APROBADO,13001,CARTAGENA DE INDIAS,13,BOLIVAR,13001,CARTAGENA DE INDIAS,13,BOLIVAR,P,Proyecto,399981607,780388566,1180370173
57752,11340,2017,777-2017 CONVOCATORIA PARA PROYECTOS DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD 2017,110777757752,Evaluacion antibacteriana de veinticinco plantas nativas de la region Caribe colombiana frente a Cepas de Escherichia coli Klebsiella pneumoniae y Pseudomonas aeruginosa resistentes a carbapenemes y Staphylococcus aureus meticilino resistente.,2017-05-19,2018-03-12,UNIVERSIDAD DE CARTAGENA,RC,RECUPERACION CONTINGENTE,154,PROGRAMA NACIONAL DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD,11668,TOXINOLOGIA CLINICA Y NUEVOS MEDICAMENTOS.,X,No disponible,APROBADO,13001,CARTAGENA DE INDIAS,13,BOLIVAR,13001,CARTAGENA DE INDIAS,13,BOLIVAR,P,Proyecto,282137600,596050000,878187600
